0.36 0.008651946167986146 -0.3133625574620289 1	0.36 0.008651946167986146 -0.3133625574620289 1
1.32 0.15798252640813137 -0.43774637875854827 1	1.32 0.15798252640813137 -0.43774637875854827 1
2.32 0.22034628217454255 -0.602322793987299 1	2.32 0.22034628217454255 -0.602322793987299 1
3.32 0.1296007500570706 -0.641190578297512 1	3.32 0.1296007500570706 -0.641190578297512 1
4.32 0.09298423104241982 -0.588249715536278 1	4.32 0.09298423104241982 -0.588249715536278 1
5.32 0.10867083148032464 -0.5796656277696095 1	5.32 0.10867083148032464 -0.5796656277696095 1
6.32 0.10610226532674982 -0.6726727924384011 1	6.32 0.10610226532674982 -0.6726727924384011 1
7.32 -0.1277999891480328 -0.8435047469589798 1	7.32 -0.1277999891480328 -0.8435047469589798 1
8.32 -0.053217951233280214 -0.7923439105952701 1	8.32 -0.053217951233280214 -0.7923439105952701 1
9.32 0.05551759705570802 -0.6775362920254229 1	9.32 0.05551759705570802 -0.6775362920254229 1
10.32 -1.1115652241969785 -0.40379267367708027 1	10.32 -1.1115652241969785 -0.40379267367708027 1
11.32 -2.0917685214952844 -0.4699624689433155 1	11.32 -2.0917685214952844 -0.4699624689433155 1
12.32 -2.10728107770018 -0.08785558103543445 1	12.32 -2.10728107770018 -0.08785558103543445 1
13.32 -1.6970324311199723 -0.3639497390071931 1	13.32 -1.6970324311199723 -0.3639497390071931 1
14.32 -2.1586524007716803 -0.6162519874947856 1	14.32 -2.1586524007716803 -0.6162519874947856 1
15.32 -1.9496711441807641 -0.4869088480353092 1	15.32 -1.9496711441807641 -0.4869088480353092 1
16.32 -1.498651536460799 -0.4509203333921117 1	16.32 -1.498651536460799 -0.4509203333921117 1
17.32 -0.9222836384996631 -0.5466443473877276 1	17.32 -0.9222836384996631 -0.5466443473877276 1
18.32 -0.27002554344281915 -0.7117190192113374 1	18.32 -0.27002554344281915 -0.7117190192113374 1
19.32 -0.12353433464298869 -0.5319577158914606 1	19.32 -0.12353433464298869 -0.5319577158914606 1
20.32 -0.3115819027459743 -0.6440682771682003 1	20.32 -0.3115819027459743 -0.6440682771682003 1
21.32 -0.20307631903922818 -0.7617221786821995 1	21.32 -0.20307631903922818 -0.7617221786821995 1
22.32 -0.15332794273257289 -0.7690207267350195 1	22.32 -0.15332794273257289 -0.7690207267350195 1
23.32 -0.10364868146429584 -0.7571109489852605 1	23.32 -0.10364868146429584 -0.7571109489852605 1
24.32 0.04566870408670365 -0.7660183066359836 1	24.32 0.04566870408670365 -0.7660183066359836 1
25.32 0.23353154654165875 -0.6761869779807061 1	25.32 0.23353154654165875 -0.6761869779807061 1
26.32 0.713196824395586 -0.3236302247317564 1	26.32 0.713196824395586 -0.3236302247317564 1
27.32 0.40698453181312777 -0.009893817743950484 1	27.32 0.40698453181312777 -0.009893817743950484 1
28.32 0.7638267316008394 -0.0067801852649775896 1	28.32 0.7638267316008394 -0.0067801852649775896 1
29.32 1.541944568182859 -0.18468857723776733 1	29.32 1.541944568182859 -0.18468857723776733 1
30.32 2.151175410256136 -0.2875810773503442 1	30.32 2.151175410256136 -0.2875810773503442 1
31.32 1.894193131192491 -0.38281657368832667 1	31.32 1.894193131192491 -0.38281657368832667 1
32.32 1.2920591469236724 -0.25749781441809905 1	32.32 1.2920591469236724 -0.25749781441809905 1
33.32 1.517794517136183 -0.1816308651080285 1	33.32 1.517794517136183 -0.1816308651080285 1
34.32 1.3053983493308152 -0.2460866074224648 1	34.32 1.3053983493308152 -0.2460866074224648 1
35.32 1.5364486659946683 -0.24590313841149536 1	35.32 1.5364486659946683 -0.24590313841149536 1
36.32 1.9808558494973578 -0.22889989649247133 1	36.32 1.9808558494973578 -0.22889989649247133 1
37.32 1.967060487836914 -0.08730266072840287 1	37.32 1.967060487836914 -0.08730266072840287 1
38.32 1.973521487288287 -0.048395292350754904 1	38.32 1.973521487288287 -0.048395292350754904 1
39.32 1.8046156432236238 -0.08355128494075137 1	39.32 1.8046156432236238 -0.08355128494075137 1
40.32 1.3828316967379655 -0.08883544378408925 1	40.32 1.3828316967379655 -0.08883544378408925 1
41.32 1.2194129584020628 -0.04340487242052715 1	41.32 1.2194129584020628 -0.04340487242052715 1
42.32 1.1417647260574064 0.017152781729334876 1	42.32 1.1417647260574064 0.017152781729334876 1
43.32 1.222597905034272 0.40315964275738203 1	43.32 1.222597905034272 0.40315964275738203 1
44.32 1.9672370453440458 0.6351876230550326 1	44.32 1.9672370453440458 0.6351876230550326 1
45.32 2.720488547754371 0.5643651290688312 1	45.32 2.720488547754371 0.5643651290688312 1
46.32 3.133072654313257 0.2687412603660315 1	46.32 3.133072654313257 0.2687412603660315 1
47.32 -2.987102258743539 0.16469328247546455 1	47.32 -2.987102258743539 0.16469328247546455 1
48.32 -2.9599460805184967 -0.11058154813223786 1	48.32 -2.9599460805184967 -0.11058154813223786 1
49.32 -2.9870341490148093 -0.09786846514095604 1	49.32 -2.9870341490148093 -0.09786846514095604 1
50.32 -2.927217659403782 -0.09774123063848572 1	50.32 -2.927217659403782 -0.09774123063848572 1
51.32 2.4477656328591797 -0.3252167290218193 1	51.32 2.4477656328591797 -0.3252167290218193 1
52.32 1.1505850615916255 -0.166167317748529 1	52.32 1.1505850615916255 -0.166167317748529 1
53.32 0.5704428542164659 0.21102172101942251 1	53.32 0.5704428542164659 0.21102172101942251 1
54.32 0.07338634775079633 0.30672248722940165 1	54.32 0.07338634775079633 0.30672248722940165 1
55.32 0.16198868535998923 0.40365130200766886 1	55.32 0.16198868535998923 0.40365130200766886 1
56.32 0.26360287142182015 -0.2118542430726238 1	56.32 0.26360287142182015 -0.2118542430726238 1
57.32 -0.35588401402836656 -0.6844600480746696 1	57.32 -0.35588401402836656 -0.6844600480746696 1
58.32 -0.9769247312050195 -0.9455452471439032 1	58.32 -0.9769247312050195 -0.9455452471439032 1
59.32 -2.0524546310282616 -0.7874998888826998 1	59.32 -2.0524546310282616 -0.7874998888826998 1
60.32 -2.314562104346973 -0.2636773271677104 1	60.32 -2.314562104346973 -0.2636773271677104 1
61.32 -1.849346896062497 0.24364873152327937 1	61.32 -1.849346896062497 0.24364873152327937 1
62.32 -1.9667167976006117 0.5626419654983372 1	62.32 -1.9667167976006117 0.5626419654983372 1
63.32 -1.9965468481649775 0.748816830220518 1	63.32 -1.9965468481649775 0.748816830220518 1
64.32 -1.653012434857872 0.7186735628685893 1	64.32 -1.653012434857872 0.7186735628685893 1
65.32 -1.2037992429137212 0.7522402237351348 1	65.32 -1.2037992429137212 0.7522402237351348 1
66.32 -0.02892590019866237 0.9133725109377553 1	66.32 -0.02892590019866237 0.9133725109377553 1
67.32 1.4000363147460853 0.987709818784793 1	67.32 1.4000363147460853 0.987709818784793 1
68.32 2.0433993043635548 1.0145339934982043 1	68.32 2.0433993043635548 1.0145339934982043 1
69.32 2.4763176835320655 0.9940596058562288 1	69.32 2.4763176835320655 0.9940596058562288 1
70.32 2.294100283075612 0.8577465289354983 1	70.32 2.294100283075612 0.8577465289354983 1
71.32 2.0085559002425892 -0.08691593067274583 1	71.32 2.0085559002425892 -0.08691593067274583 1
72.32 -0.1708027377089003 -0.2921637185541359 1	72.32 -0.1708027377089003 -0.2921637185541359 1
73.32 -1.7431290201260954 0.06368322468091869 1	73.32 -1.7431290201260954 0.06368322468091869 1
74.32 -1.6482774264103817 0.4528043465064693 1	74.32 -1.6482774264103817 0.4528043465064693 1
75.32 -1.1886630495087256 0.6432473790078173 1	75.32 -1.1886630495087256 0.6432473790078173 1
76.32 -1.2452600978002073 0.7371194241341419 1	76.32 -1.2452600978002073 0.7371194241341419 1
77.32 -1.4333108074958465 0.6816297872530506 1	77.32 -1.4333108074958465 0.6816297872530506 1
78.32 -1.473228512070889 0.6460883212444586 1	78.32 -1.473228512070889 0.6460883212444586 1
79.32 -1.3473103369223565 0.45852832832130996 1	79.32 -1.3473103369223565 0.45852832832130996 1
80.32 -1.5729879018300408 0.20006196088810912 1	80.32 -1.5729879018300408 0.20006196088810912 1
81.32 -1.530497232871708 0.31579634929076494 1	81.32 -1.530497232871708 0.31579634929076494 1
82.32 -1.6796895830350953 0.11245456567230794 1	82.32 -1.6796895830350953 0.11245456567230794 1
83.32 -1.522076507923026 0.7505170601646409 1	83.32 -1.522076507923026 0.7505170601646409 1
84.32 -0.990993411426325 0.918558337931036 1	84.32 -0.990993411426325 0.918558337931036 1
85.32 -0.40072522261011523 0.8819955401507619 1	85.32 -0.40072522261011523 0.8819955401507619 1
86.32 -0.37684974676136385 0.8354581856953401 1	86.32 -0.37684974676136385 0.8354581856953401 1
87.32 -0.6381686803240241 0.6277458183772091 1	87.32 -0.6381686803240241 0.6277458183772091 1
88.32 -0.9394794600483518 0.036391895139918695 1	88.32 -0.9394794600483518 0.036391895139918695 1
89.32 -1.2370661958411142 -0.36221934977359593 1	89.32 -1.2370661958411142 -0.36221934977359593 1
90.32 -1.7509654088412097 -0.17628638768574167 1	90.32 -1.7509654088412097 -0.17628638768574167 1
91.32 -1.585094971598445 -0.04057869566935768 1	91.32 -1.585094971598445 -0.04057869566935768 1
92.32 -1.572309946135396 0.00467594650560299 1	92.32 -1.572309946135396 0.00467594650560299 1
93.32 -1.6705513183243332 -0.03370740421742635 1	93.32 -1.6705513183243332 -0.03370740421742635 1
94.32 -1.84628635649937 0.08161166563642497 1	94.32 -1.84628635649937 0.08161166563642497 1
95.32 -1.8572806741498726 0.001641482161500507 1	95.32 -1.8572806741498726 0.001641482161500507 1
